frWrd,brWrd,cbWrd,test
tombent,images/br_tombent.png,images/cb_tombent.png,false
tonne,images/br_tonne.png,images/cb_tonne.png,false
tortues,images/br_tortues.png,images/cb_tortues.png,false
tour,images/br_tour.png,images/cb_tour.png,false
tous,images/br_tous.png,images/cb_tous.png,false
tram,images/br_tram.png,images/cb_tram.png,false
travaux,images/br_travaux.png,images/cb_travaux.png,false
trois,images/br_trois.png,images/cb_trois.png,false
tromper,images/br_tromper.png,images/cb_tromper.png,false
trop,images/br_trop.png,images/cb_trop.png,false
truite,images/br_truite.png,images/cb_truite.png,false
très,images/br_tres.png,images/cb_tres.png,false
tête,images/br_tete.png,images/cb_tete.png,false
ultra,images/br_ultra.png,images/cb_ultra.png,false
urgente,images/br_urgente.png,images/cb_urgente.png,false
vase,images/br_vase.png,images/cb_vase.png,false
veille,images/br_veille.png,images/cb_veille.png,false
vendu,images/br_vendu.png,images/cb_vendu.png,false
vent,images/br_vent.png,images/cb_vent.png,false
vert,images/br_vert.png,images/cb_vert.png,false
vin,images/br_vin.png,images/cb_vin.png,false
vise,images/br_vise.png,images/cb_vise.png,false
vivra,images/br_vivra.png,images/cb_vivra.png,false
voit,images/br_voit.png,images/cb_voit.png,false
voter,images/br_voter.png,images/cb_voter.png,false
vélo,images/br_velo.png,images/cb_velo.png,false
vôtre,images/br_votre.png,images/cb_votre.png,false
zoo,images/br_zoo.png,images/cb_zoo.png,false
zéro,images/br_zero.png,images/cb_zero.png,false
écrire,images/br_ecrire.png,images/cb_ecrire.png,false
églises,images/br_eglises.png,images/cb_eglises.png,true
élèves,images/br_eleves.png,images/cb_eleves.png,false
époque,images/br_epoque.png,images/cb_epoque.png,false
étang,images/br_etang.png,images/cb_etang.png,false
étendre,images/br_etendre.png,images/cb_etendre.png,false
été,images/br_ete.png,images/cb_ete.png,false
être,images/br_etre.png,images/cb_etre.png,false
île,images/br_ile.png,images/cb_ile.png,false
